DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE
2021-06-08,3251.83,3264.67,3242.56,3247.83,1951319356,19352173579005
2021-06-09,3245.08,3246.49,3216.18,3216.18,1964923269,17164709655058
2021-06-10,3216.94,3235.39,3210.31,3224.64,1896766322,19170539861596
2021-06-11,3226.98,3251.58,3226.98,3249.32,1645508762,17956256842935
2021-06-14,3249.6,3254.49,3238.51,3252.13,1664527170,15262485462973
2021-06-15,3253.17,3262.8,3247.9,3258.63,1734497293,14838275276764
2021-06-16,3259.06,3281.96,3256.68,3278.68,2345810978,16297981235711
2021-06-17,3276.2,3276.2,3251.32,3264.96,1848671013,14672132506589
2021-06-18,3265.68,3275.76,3262.58,3267.93,1627658120,17492731865668
2021-06-21,3264.18,3264.18,3225.56,3240.79,1508634470,17291259635405
2021-06-22,3245.79,3267.63,3245.79,3263.88,1666696733,15512033241198
2021-06-23,3265.73,3281.88,3263.07,3276.19,1069174741,17865268589384
2021-06-24,3281.47,3292.27,3277.85,3286.1,1301271218,21426510325089
2021-06-25,3289.18,3316.08,3289.18,3302.84,1198187970,18618608315198
2021-06-28,3305.46,3311.69,3291.3,3301.89,1428764468,13796055583387
2021-06-29,3305.26,3305.42,3276.63,3286.68,1213046625,15509502688918
2021-06-30,3288.63,3305.73,3288.63,3296.68,1610375510,15646662100364
2021-07-01,3297.92,3300.12,3278.1,3282.06,1159231481,16075974682786
2021-07-02,3282.81,3295.68,3278.19,3281.78,1019998165,15437887450990
2021-07-05,3285.29,3298.93,3285.29,3293.21,850406170,14529926270282
2021-07-06,3295.44,3313.51,3295.44,3305.21,1029465279,14686383269810
2021-07-07,3303.59,3303.59,3277.66,3285.34,1147641017,14507060037927
2021-07-08,3287.68,3295.71,3252.41,3252.68,1516034403,16870624131454
2021-07-09,3245.52,3245.52,3188.8,3217.95,1308364633,16473105860696
2021-07-12,3227.51,3251.45,3227.51,3246.47,1135042856,11280079226180
2021-07-13,3253.24,3273.9,3253.24,3271.38,1150101046,13494445819170
2021-07-14,3270.09,3270.09,3250.45,3264.81,908953938,12993100764877
2021-07-15,3269.33,3286.58,3263.09,3286.22,1172430582,13683900975965
2021-07-16,3282.89,3282.89,3259.32,3276.91,1066507087,14781318750668
2021-07-19,3258.87,3258.87,3236.39,3244.04,1095559262,12855281198924
2021-07-20,3223.24,3234.8,3214.42,3232.7,979670175,15292372447870
2021-07-21,3251.13,3252.25,3215.91,3215.91,990326915,14864747567296
2021-07-22,3235.17,3253.75,3235.17,3250.21,712983404,13039249952509
2021-07-23,3253.44,3264.01,3246.09,3254.42,805048259,13209383405119
2021-07-26,3265.99,3265.99,3224.95,3224.95,826066626,12212490543815
2021-07-27,3244.43,3252.85,3230.75,3232.53,991938990,12348469240739
2021-07-28,3226.06,3243.21,3210.9,3236.86,868602620,11979296757213
2021-07-29,3248.49,3252.26,3232.5,3242.65,694823189,10491306617501
